주소,24시간 거래량($),초기 유동성($),성장률(x),시가총액($),유명 지갑 수,생성일
96ReVgQFxRHdYgLxkPJp69TmEayTSx2HEnu6XYtQpump,1706710.66,226415.12,7.54,3701597.60,0,2025-01-15
DoHJhvbVXJeyAGpdGuBauYnkHVXtoQg1oLahDgnhpump,234203.01,72811.91,3.22,429154.12,0,2025-01-15
6JCXXRpeVr3raYvKL7z6t6x9axtTbWehsrqUD2iZpump,1278169.69,62338.05,20.50,278659.57,0,2025-01-15
5uVCDnqrWuQGxBH8uCvo6zf8h4cwn4dabVHFTrespump,263177.92,40466.79,6.50,130346.78,0,2025-01-15
KrqRHzhNZZuYed3jYvPvg5sWDKUaVaJ8PuvfmFLpump,1439345.90,8339.28,172.60,4804.44,0,2025-01-15
36YQ3opqZsqVExEpjcHdx9fB4EmzC2FkSHi1MNEVpump,2872454.71,8233.15,348.89,5091.87,0,2025-01-15
DcSs73YnCU9dNk5swfrSEnXZxZV5ncyCufFSU58Epump,707175.23,6972.45,101.42,3615.36,0,2025-01-15
rchcJ4k8uYibzSc7CZJbNbdzwLrQbkFwXHHX9RUpump,847365.55,44698.16,18.96,150048.79,0,2025-01-15
9uhYcM8fcNCUfaTfo2gnJtEVTbsNZbSQ81Ax1pnepump,38387.10,10389.65,3.69,8626.59,0,2025-01-15
By8qZu8HDUmKXqnqpS7cPaN6zubULPutZ8Ywg5jqpump,868354.17,7214.95,120.35,3979.93,0,2025-01-15
5KK4DgDQy5iNLVwYcYQbwtW8RuJhhy7XnvzfVN5jpump,32628.86,6507.74,5.01,3386.24,0,2025-01-15
BgqyrG3g5p4Z6yKwtKhBgYhr5sa2DV3WAh1JT9b3pump,454705.88,7583.45,59.96,4359.16,0,2025-01-15
2hJBXy3DsKdG8padjFwP4jFyeqK78thrGYJs7u3Fpump,70699.86,11349.96,6.23,10263.28,0,2025-01-15
7dBAC3PzEbtWjW1uECcBTjoJz7dcUvM1XBhopL1Npump,401879.50,12452.86,32.27,11807.64,0,2025-01-15
EGx4J6mjAbCjdJL3rhsPSJvGzfLAKDdBcYHRn6vR7auC,323483.25,6996.76,46.23,3675.70,0,2025-01-15
4kwqeSVwAuJfq56gRBZx3aMeHFvXKsqE6w7QpzhXpump,162278.62,30784.99,5.27,66848.67,0,2025-01-15
9Ns7G4hbmpcnLSD19orA9KMBjktdpiEqnMTa6mQpump,1101686.58,142605.54,7.73,1550990.10,0,2025-01-15
BkPoEUp4uP5DdmNNmaRM3EWFnPBb1NwsNJyAjp5Npump,2140116.62,7868.58,271.98,4205.80,0,2025-01-15
v4PR5GpgFydL423d1dEhbaq1N4KgnMKdGZ3BuwYpump,137583.41,24236.32,5.68,46659.58,0,2025-01-15
56TN3gjJo3JGM3CiZePuVhfYraqxhsUMnfZmd6jEpump,4737486.64,8084.66,585.98,4700.19,0,2025-01-15
CWZSPvA7B9p9n9nL8gSGRsqveCgr1hBXL7yvtALy2cfg,199368.87,8203.06,24.30,5312.75,0,2025-01-15
8Xn7nUfRiEfb14SCxBsENj2LqRUCGVpTqmpNHoUApump,3457960.38,7447.80,464.29,3942.70,0,2025-01-15
BAJdVTyz7BC1YErdUdvXohjrtKE1VC3gV8pA91AUpump,807423.38,7600.47,106.23,4264.65,0,2025-01-15
5A1sMvHMeRr223KhnbDo2YJWgQcJncWJnjG5xKNuo89V,456841.98,10808.98,42.27,8825.28,0,2025-01-15
MjuwKvjcxHk6Aej2bgto5wGkctEwRCFdjohNw4opump,73210.90,6853.89,10.68,3542.96,0,2025-01-15
A5LUsGRRQY9apbP2JNNTnXVg21CFXPJzWjAxGbvnpump,453524.87,6719.82,67.49,3475.50,0,2025-01-15
9dQ4Rdtkk6euLt5bu6uPCTqyjznCh1PdY5nagFQ1pump,252520.10,13483.97,18.73,14254.75,0,2025-01-15
Fu8qFJCVvQvwYkM8nmHprR3UxYM3jDPt5j8uLGUKpump,3846099.90,9635.93,399.14,5907.44,0,2025-01-15
mkL2VfYKN5VXSCzDT35MBjynXNXgemMf52FaFAtpump,271044.48,6870.44,39.45,3651.95,0,2025-01-15
A13YvYTodY8YnYNmgrTp44V9riwZPTKYaihMmVGepump,90387.64,6443.43,14.03,3293.48,0,2025-01-15
8YvHSX2td4BDPSpqFUjyvhfgMo9zMXsc61wExNMmpump,60139.41,6647.82,9.05,3521.24,0,2025-01-15
6W4umovLaTXkvMmht1L4V5mjGFFArNqAtHmvTLVupump,83576.22,6567.93,12.72,3355.31,0,2025-01-15
A1RwtUcRBoWGjmRfNCZFHXrmzvtPhRz91eCeaagrpump,43725.69,6409.53,6.82,3316.18,0,2025-01-15
3Abv6RMNHFe4y5R4KfnbLq6fvaUZT7UtFmXTdHbapump,1957434.64,7213.94,271.34,3787.76,0,2025-01-15
3vigZZ4nug3EK9b3ZvikXWWcy2GjNNwjEnLt8gnLpump,411785.68,10344.79,39.81,8038.39,0,2025-01-15
AR8NK3EmQygCMTHdsJ9Ph42xEPfypp2HHqEUa9Rnpump,49825.89,6471.63,7.70,3333.11,0,2025-01-15
wHtDcqwowYaYckxA8TUsNR6FwBkL8dosMgpvSfcpump,231255.50,8988.35,25.73,6269.47,0,2025-01-15
mBRQ4Zj6MtVwYTbji4Y4qbKRf6TrNuUJWq97C2ypump,180622.12,8092.52,22.32,5108.22,0,2025-01-15
Ea49PsUjPpTGz4xB7nqAETU2KcF6xZfZLAEgQTWBpump,70085.97,6345.95,11.04,3223.98,0,2025-01-15
2NgJhLPrTdaSs8ghxmKLmDTwkgDWUoCinV4kTujopump,6117536.25,8275.93,739.20,4635.02,0,2025-01-15
7u7JyAYBtS2nQozx2cGqUT7jMfm91Qa9VCXbK9Xypump,157028.80,6928.38,22.66,3763.36,0,2025-01-15
8Hp3V7DS7j6iJmUtfWJLkUsmASft5xFtJtfdvJyvpump,66015.81,6593.65,10.01,4230.04,0,2025-01-15
5f26rDAZxYbnGeNsh8RZihUJ8WB8F5Q4XwzkW6HZpump,248569.83,7964.79,31.21,4954.99,0,2025-01-15
9WGBanjDgZvTGp8FupxUTf3n6WDYGZMJFCodErB2pump,1026914.76,55406.36,18.53,225436.67,0,2025-01-15
447JV8iSwGwkaKNowxHwJv2smt6cjBJ74cY5riL2pump,79695.49,7992.04,9.97,5066.74,0,2025-01-15
7CNyqsPahcmWuVFdDyiVXkcFRYmsxGox4G3vqBcJjBmq,225904.75,27119.58,8.33,56586.64,0,2025-01-15
6j3M4s8fBDWhZi2b6in418j6V3x2fH67cKWvJhTdpump,84098.02,6631.28,12.68,3505.72,0,2025-01-15
HXHfDgccimkbcVXhz4FZKhpGP6U9JaHkF6mUJzCypump,4378433.35,7433.88,588.98,3875.67,0,2025-01-15
FkWDr44K4sbCvhfcD8JuHgkmiRVNyLCCRXLyzPuHpump,144031.14,12858.81,11.20,12987.18,0,2025-01-15
7HbpGEXXbB4bjpm3aLZMfVqXYduxD6ukqMJhsb3Ypump,152592.46,6652.36,22.94,3474.22,0,2025-01-15
13eY6XE9MVcMKgzS9ce5NviD9DVJBEeVe22wG2aJpump,148803.01,6629.47,22.45,3422.74,0,2025-01-15
79NuWSdUZtTTFtNxLaWLdNrETn96s6wRndauKRFVpump,84975.86,6847.41,12.41,3689.20,0,2025-01-15
7v4HNMv9HjZ9c4QTKYZFU7ySvVX9QwXtiw8KJvsypump,327259.66,6666.03,49.09,3458.32,0,2025-01-15
HUeiLJ8nbwbURPjCgzdEhbx25HXdRYtJTHqt2happump,147313.51,12023.04,12.25,11351.30,0,2025-01-15
8oMfWcyg4M5eQKMqmCGL3Lpt7knDQumpWikfAYr5pump,60481.30,30666.73,1.97,72427.02,0,2025-01-15
4svv4HJC3Lyi1gr81Nj2yD35f115Ei4GrzunmaYwpump,685200.45,9601.44,71.36,6819.53,0,2025-01-15
BzCFVnVf2j4q7ihnrj1LXujRTKzH6ptZcHnqmYmJpump,110009.61,6396.57,17.20,3246.42,0,2025-01-15
FzZRSkeR6cTjccfSwTwykGDn7dJGRP7dMb2dAknKpump,212637.98,6814.48,31.20,3611.23,0,2025-01-15
9nSh1GiXkeYpqSumaJP8fvqvw42sGvPecUhw3VtGpump,49297.77,6832.11,7.22,3736.19,0,2025-01-15
2sCar1KWir81RBREWpyEpFSghcuog234GrZLfsxSpump,839935.97,93030.96,9.03,622443.07,0,2025-01-15
4vQdHEATp9qXLoKcKQSd3QuEpcEJXZCmxe25Sx2ppump,929388.66,6738.05,137.93,3449.28,0,2025-01-15
DUhUkcu6nhSijq14gjfCoJtnasSQRT2zqKY8D3F3pump,94927.07,6438.78,14.74,3266.89,0,2025-01-15
Dkkjz2mNSSFFwg6vEKqHoMo9pqJyZyYfkagjRjZ6pump,331226.60,7598.85,43.59,4467.37,0,2025-01-15
Fxn6DHqc9VnXAxR8LEtiQwvYYBkLDhLZnTwAg6d9pump,546235.45,7633.64,71.56,4422.79,0,2025-01-15
H2tqG9zCVbs4WYYPnSGVt6k3ZBf2EBikj8cCgxU7pump,123786.52,6996.51,17.69,3859.12,0,2025-01-15
EmY8JQ52qXA87wA1VwdqBvuMXWaj9Wr64fpepqqopump,110607.58,22959.36,4.82,41354.93,0,2025-01-15
BCHBP3cgjv5PhkYdkxPcDUnVYwmCUj8wwfbeiK8Jpump,101639.42,6609.25,15.38,3460.70,0,2025-01-15
HcJszZv1E1erXquBX86xKUKk2djU3vyQnYr22h52pump,89040.94,7481.38,11.90,4382.58,0,2025-01-15
8rSdwnP8t7Sa3waGQ4x8HN9848kv9xX2hdC3Ka7tpump,132895.17,6754.92,19.67,3590.00,0,2025-01-15
FNm5t1A2SpDaYwngmKcpZSvBh8SDNcZzxZGkw2HBpump,75067.99,6614.79,11.35,3484.52,0,2025-01-15
9NTg5uT9QTP2GPX8tvcN52JfsARy2VHi4UH3eqGpump,102705.09,7825.18,13.12,4882.13,0,2025-01-15
